NAME,ELEVATION,MONTAIN RANGE,REGION,GEO_COORDINATES,LATITUDE,LONGITUDE,KGP,DIADEM,KGS,KS,KNSSP,TZK,KBW,KMSL,DOG_FRIENDLY
Kraczonik,934,Beskid Sądecki,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Jaworze,882,Beskid Niski,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Wątkowa,846,Beskid Niski,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Baranie,754,Beskid Niski,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Kamień,857,Beskid Niski,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Tokarnia,778,Beskid Niski,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Żar,883,Pieniny,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Trzy Korony,882,Pieniny,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Starobociański Wierch,2176,Tatry Zachodnie,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Krzesanica,2122,Tatry Zachodnie,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Świnica,2301,Tatry Wschodnie,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Słonny pn.-zach.,668,Góry Sanocko-Turczańskie,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Słonny płd.-zach,668,Góry Sanocko-Turczańskie,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Jaworniki,908,Góry Sanocko-Turczańskie,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Trohaniec,939,Bieszczady,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Łopiennik,1069,Bieszczady,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Wołosań,1071,Bieszczady,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Wielka Rawka,1307,Bieszczady,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Skalny Stół,1282,Karkonosze,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Łysocina,1189,Karkonosze,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Okole,721,Góry Kaczawskie,,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,
